IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,S,E,labels
2_1,0,1,0,1,0,1,1,1,1,2,2,2,2,0,0,1,2,2,2,2,0,0,1,2,2,2,2,0,0,1,1,1,1.97215e-31,1
2_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,2,2,2,2,0,0,1,0.5,1,1.97215e-31,1
2_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,0,1,1.97215e-31,1
3_1,0,1,0,1,0,1,1,1,1,4,1,3,2,1,1,1,4,1,3,2,1,1,1,4,1,3,2,1,1,1,1,1,2.5222300000000002e-30,1
3_2,0,1,0,1,0,1,1,1,1,2,2,2,2,0,0,2,4,1,3,2,1,1,1,4,1,3,2,1,1,1,0.66666667,1,0.143594,1
3_3,0,1,0,1,0,1,1,1,1,2,2,2,2,0,0,2,2,2,2,2,0,0,2,4,1,3,2,1,1,1,0.33333333,1,0.277997,1
3_4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,1,4,1,3,2,1,1,1,0.33333333,1,2.5222300000000002e-30,1
3_5,0,2,0,1,0,1,1,2,2,6,3,3,3,0,0,1,6,3,3,3,0,0,1,6,3,3,3,0,0,1,0.66666667,1,0.0528315,1
3_6,0,2,0,1,0,1,1,2,2,4,1,3,2,1,1,1,6,3,3,3,0,0,1,6,3,3,3,0,0,1,0.33333333,1,0.666667,1
3_8,0,1,1,1,0,1,1,1,1,2,2,2,2,0,0,2,6,3,3,3,0,0,1,6,3,3,3,0,0,1,0,1,3.71011e-30,1
4_1,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,1,1.0243,0.0264935,1
4_2,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,2,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,0.75,1.0468,0.205414,1
4_4,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,3,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,0.5,1.0854,0.328271,1
4_5,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,3,4,1,3,2,1,1,2,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,0.25,1.0994,0.458839,1
4_8,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,3,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,0.5,0.98675,0.265016,1
4_9,0,1,0,1,0,1,1,1,1,4,1,3,2,1,1,2,6,1,4,2,1.41421356,2,1,6,1,4,2,1.41421356,2,1,0.75,0.9,0.45,1
4_10,0,1,0,1,0,1,1,1,1,8,1,4,2.66666667,1.24721913,1.55555556,1,8,1,4,2.66666667,1.24721913,1.55555556,1,8,1,4,2.66666667,1.24721913,1.55555556,1,0.75,1,1,1
4_12,0,1,0,1,0,1,1,1,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,8,1,4,2.66666667,1.24721913,1.55555556,1,8,1,4,2.66666667,1.24721913,1.55555556,1,0.5,0.95526,0.961158,1
4_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,0.25,1.0243,0.0264935,1
4_15,0,3,0,1,0,1,1,3,3,10,2,4,3.33333333,0.942809042,0.888888889,1,12,4,4,4,1.88411095e-15,3.54987407e-30,1,12,4,4,4,1.88411095e-15,3.54987407e-30,1,0,1.0685,0.643472,1
4_16,0,1,0,1,0,1,1,1,1,6,3,3,3,0,0,2,8,1,4,2.66666667,1.24721913,1.55555556,1,8,1,4,2.66666667,1.24721913,1.55555556,1,0.5,1.0685,0.643472,1
4_19,0,1,0,1,0,1,1,1,1,8,2,4,2.66666667,0.94280904,0.88888889,1,8,2,4,2.66666667,0.94280904,0.88888889,1,8,2,4,2.66666667,0.94280904,0.88888889,1,0.75,1.2,1.8,1
4_20,0,1,0,1,0,1,1,1,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,8,2,4,2.66666667,0.94280904,0.88888889,1,8,2,4,2.66666667,0.94280904,0.88888889,1,0.5,1.2,1.8,1
4_21,0,1,0,1,0,1,1,1,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,6,0.58578644,3.41421356,2,1.15470054,1.33333333,1,8,2,4,2.66666667,0.94280904,0.88888889,1,0.25,0.9,0.45,1
4_25,0,2,0,1,0,1,1,2,2,8,1,4,2.66666667,1.24721913,1.55555556,1,10,2,4,3.33333333,0.94280904,0.88888889,1,10,2,4,3.33333333,0.94280904,0.88888889,1,0.25,0.9,1.15952,1
4_27,0,2,0,1,0,1,1,2,2,6,3,3,3,0,0,2,10,2,4,3.33333333,0.94280904,0.88888889,1,10,2,4,3.33333333,0.94280904,0.88888889,1,0,1.0243,0.0264935,1
4_29,0,1,0,1,0,1,1,1,1,2,2,2,2,0,0,3,8,2,4,2.66666667,0.94280904,0.88888889,1,8,2,4,2.66666667,0.94280904,0.88888889,1,0,1.0565,0.658544,1
5_2,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,1,10,1.38196601,3.61803399,2.5,1.11803399,1.25,1,10,1.38196601,3.61803399,2.5,1.11803399,1.25,1,0.8,1.0747,0.304178,1
5_4,0,0,0,0,0,0,0,0,0,10,0.82991351,4.4811943,2.5,1.32287566,1.75,1,10,0.82991351,4.4811943,2.5,1.32287566,1.75,1,10,0.82991351,4.4811943,2.5,1.32287566,1.75,1,0.8,1.1123,0.504546,1
5_6,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,2,8,0.38196601,3.61803399,2,1.22474487,1.5,1,8,0.38196601,3.61803399,2,1.22474487,1.5,1,0.8,1.1389,0.771182,1
5_11,0,1,0,1,0,1,1,1,1,12,1,5,3,1.58113883,2.5,1,12,1,5,3,1.58113883,2.5,1,12,1,5,3,1.58113883,2.5,1,0.6,1.0131,0.840117,1
5_20,0,0,0,0,0,0,0,0,0,8,1,4,2.66666667,1.24721913,1.55555556,2,10,0.69722436,4.30277564,2.5,1.5,2.25,1,10,0.69722436,4.30277564,2.5,1.5,2.25,1,0.6,1.1537,1.56554,1
5_21,0,0,0,0,0,0,0,0,0,8,2,4,2.66666667,0.94280904,0.88888889,2,10,0.82991351,4.4811943,2.5,1.32287566,1.75,1,10,0.82991351,4.4811943,2.5,1.32287566,1.75,1,0.6,1.1537,1.56554,1
5_27,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,3,8,0.5188057,4.17008649,2,1.41421356,2,1,8,0.5188057,4.17008649,2,1.41421356,2,1,0.6,0.99437,0.278635,1
5_32,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,3,10,0.69722436,4.30277564,2.5,1.5,2.25,1,10,0.69722436,4.30277564,2.5,1.5,2.25,1,0.4,1.0472,0.0891649,1
5_35,0,2,0,1,0,1,1,2,2,14,2,5,3.5,1.5,2.25,1,16,2,5,4,1.22474487,1.5,1,16,2,5,4,1.22474487,1.5,1,0,0.92618,1.67842,1
5_45,0,0,0,0,0,0,0,0,0,10,0.5188057,4.17008649,2.5,1.32287566,1.75,1,12,0.82991351,4.4811943,3,1.41421356,2,1,12,0.82991351,4.4811943,3,1.41421356,2,1,0.4,0.94136,1.76867,1
5_46,0,1,0,1,0,1,1,1,1,12,1,5,3,1.41421356,2,1,14,1.58578644,5,3.5,1.32287566,1.75,1,14,1.58578644,5,3.5,1.32287566,1.75,1,0.2,0.90457,1.76211,1
5_48,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,3,8,0.38196601,3.61803399,2,1.22474487,1.5,1,8,0.38196601,3.61803399,2,1.22474487,1.5,1,0.6,0.91493,2.49897,1
5_52,0,1,0,1,0,1,1,1,1,12,1.38196601,4.61803399,3,1.22474487,1.5,1,14,2,5,3.5,1.11803399,1.25,1,14,2,5,3.5,1.11803399,1.25,1,0.2,0.9,3.9,1
5_62,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,3,10,0.5188057,4.17008649,2.5,1.32287566,1.75,1,10,0.5188057,4.17008649,2.5,1.32287566,1.75,1,0.4,0.98064,0.800463,1
5_64,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,2,6,0.58578644,3.41421356,2,1.15470054,1.33333333,2,8,0.38196601,3.61803399,2,1.22474487,1.5,1,0.6,1.0075,1.08339,1
5_68,0,1,0,1,0,1,1,1,1,10,1.38196601,3.61803399,2.5,1.11803399,1.25,1,14,2,5,3.5,1.11803399,1.25,1,14,2,5,3.5,1.11803399,1.25,1,0,1.0472,0.094505,1
5_71,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,3,12,0.82991351,4.4811943,3,1.41421356,2,1,12,0.82991351,4.4811943,3,1.41421356,2,1,0,1.0472,1.25635,1
5_94,0,1,0,1,0,1,1,1,1,8,2,4,2.66666667,0.94280904,0.88888889,2,12,2,5,3,1.22474487,1.5,1,12,2,5,3,1.22474487,1.5,1,0.2,1.0062,0.627752,1
5_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.38196601,3.61803399,2,1.22474487,1.5,1,8,0.38196601,3.61803399,2,1.22474487,1.5,1,0.2,0.93333,1.95556,1
5_97,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,4,10,1.38196601,3.61803399,2.5,1.11803399,1.25,1,10,1.38196601,3.61803399,2.5,1.11803399,1.25,1,0,0.8,1.6,1
6_36,0,0,0,0,0,0,0,0,0,20,1.43844719,5.56155281,4,1.54919334,2.4,1,20,1.43844719,5.56155281,4,1.54919334,2.4,1,20,1.43844719,5.56155281,4,1.54919334,2.4,1,0.16666667,1.1053,0.765943,1
6_41,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,3,10,0.32486913,4.21431974,2,1.41421356,2,1,10,0.32486913,4.21431974,2,1.41421356,2,1,0.66666667,1.0089,0.745453,1
6_44,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,2,12,0.69722436,4.30277564,2.4,1.356466,1.84,1,12,0.69722436,4.30277564,2.4,1.356466,1.84,1,0.66666667,1.1075,1.36747,1
6_57,0,0,0,0,0,0,0,0,0,12,1,5,3,1.41421356,2,2,14,0.63135063,5.10709638,2.8,1.6,2.56,1,14,0.63135063,5.10709638,2.8,1.6,2.56,1,0.5,1.0176,2.69466,1
6_91,0,0,0,0,0,0,0,0,0,8,2,4,2.66666667,0.94280904,0.88888889,3,12,0.58578644,4.73205081,2.4,1.49666295,2.24,1,12,0.58578644,4.73205081,2.4,1.49666295,2.24,1,0.5,1.0182,4.69435,1
6_101,0,0,0,0,0,0,0,0,0,10,0.82991351,4.4811943,2.5,1.32287566,1.75,2,14,0.72158639,4.89121985,2.8,1.46969385,2.16,1,14,0.72158639,4.89121985,2.8,1.46969385,2.16,1,0.33333333,1.0948,3.01686,1
6_109,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,4,12,0.69722436,4.30277564,2.4,1.62480768,2.64,1,12,0.69722436,4.30277564,2.4,1.62480768,2.64,1,0.33333333,1.0512,1.62804,1
6_153,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,2,14,0.69722436,4.61803399,2.8,1.46969385,2.16,1,14,0.69722436,4.61803399,2.8,1.46969385,2.16,1,0.33333333,1.196,1.69845,1
6_163,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,2,14,0.43844719,4.56155281,2.8,1.32664992,1.76,1,14,0.43844719,4.56155281,2.8,1.32664992,1.76,1,0.5,1.0116,1.01043,1
6_198,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,5,10,0.26794919,3.73205081,2,1.26491106,1.6,1,10,0.26794919,3.73205081,2,1.26491106,1.6,1,0.33333333,0.81546,1.5596,1
6_226,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,2,14,0.72158639,4.89121985,2.8,1.46969385,2.16,1,14,0.72158639,4.89121985,2.8,1.46969385,2.16,1,0.33333333,1.173,2.07868,1
6_236,0,0,0,0,0,0,0,0,0,8,1,4,2.66666667,1.24721913,1.55555556,3,14,0.43844719,4.56155281,2.8,1.46969385,2.16,1,14,0.43844719,4.56155281,2.8,1.46969385,2.16,1,0.16666667,1.1716,2.92483,1
6_251,0,0,0,0,0,0,0,0,0,14,0.76393202,5.23606798,2.8,1.46969385,2.16,1,16,1.43844719,5.56155281,3.2,1.46969385,2.16,1,16,1.43844719,5.56155281,3.2,1.46969385,2.16,1,0.33333333,0.87807,3.64481,1
6_257,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,4,10,0.38196601,4.30277564,2,1.41421356,2,1,10,0.38196601,4.30277564,2,1.41421356,2,1,0.5,1.0342,1.41114,1
6_263,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,4,12,0.41309402,4.39275625,2.4,1.49666295,2.24,1,12,0.41309402,4.39275625,2.4,1.49666295,2.24,1,0.33333333,0.88676,4.78291,1
6_281,0,0,0,0,0,0,0,0,0,8,2,3,2.66666667,0.47140452,0.22222222,3,14,1,4.41421356,2.8,1.32664992,1.76,1,14,1,4.41421356,2.8,1.32664992,1.76,1,0.16666667,0.81917,6.18822,1
6_303,0,0,0,0,0,0,0,0,0,6,0.58578644,3.41421356,2,1.15470054,1.33333333,3,10,0.69722436,4.30277564,2.5,1.5,2.25,2,12,0.41309402,4.39275625,2.4,1.49666295,2.24,1,0.16666667,1,1.25,1
6_311,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,4,10,0.26794919,3.73205081,2,1.26491106,1.6,1,10,0.26794919,3.73205081,2,1.26491106,1.6,1,0.5,1.1429,2.14286,1
6_369,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,2,14,1.26794919,4.73205081,2.8,1.32664992,1.76,1,14,1.26794919,4.73205081,2.8,1.32664992,1.76,1,0.33333333,0.95997,0.326189,1
6_372,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,4,12,0.32486913,4.21431974,2.4,1.356466,1.84,1,12,0.32486913,4.21431974,2.4,1.356466,1.84,1,0.33333333,1.1429,3.93778,1
