IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30
2_1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
2_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0
3_1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_5,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_6,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
3_8,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0
4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,2.66666667,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,2.66666667,0.942809042,0.888888889,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,2.66666667,1.24721913,1.55555556,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_10,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_12,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.585786438,3.41421356,2.0,1.15470054,1.33333333,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_15,0.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_16,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_19,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_20,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_21,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_25,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,10.0,2.0,4.0,3.33333333,0.942809042,0.888888889,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_27,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,8.0,1.0,4.0,2.66666667,1.24721913,1.55555556,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
4_29,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.585786438,3.41421356,2.0,1.15470054,1.33333333,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0,12.0,4.0,4.0,4.0,1.88411095e-15,3.54987407e-30,1.0
5_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_11,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,5.0,4.0,1.0,1.0,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,5.0,4.0,1.0,1.0,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_35,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_46,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,5.0,4.0,1.22474487,1.5,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_52,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,5.0,4.0,1.22474487,1.5,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,18.0,3.0,5.0,4.5,0.866025404,0.75,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_68,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,3.0,5.0,4.0,1.0,1.0,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,5.0,3.5,1.11803399,1.25,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_94,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,2.0,5.0,4.0,1.22474487,1.5,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.38196601,4.61803399,3.0,1.22474487,1.5,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
5_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.38196601,4.61803399,3.0,1.22474487,1.5,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0,20.0,5.0,5.0,5.0,1.71995011e-15,2.95822839e-30,1.0
6_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,6.0,4.8,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,6.0,4.4,1.2,1.44,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0,4.8,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
