IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30
6_303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,6.0,4.8,0.9797959,0.96,1.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.58578644,6.0,4.8,1.32664992,1.76,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,6.0,5.2,1.16619038,1.36,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.58578644,6.0,4.8,1.32664992,1.76,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,5.2,0.9797959,0.96,1.0,28.0,4.0,6.0,5.6,0.8,0.64,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
6_460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.26794919,5.73205081,4.0,1.26491106,1.6,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0,30.0,6.0,6.0,6.0,0.0,0.0,1.0
7_222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,7.0,6.33333333,0.942809042,0.888888889,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,7.0,6.66666667,0.745355992,0.555555556,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,7.0,6.66666667,0.745355992,0.555555556,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,7.0,6.33333333,0.942809042,0.888888889,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,7.0,6.33333333,1.1055416,1.22222222,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,7.0,5.66666667,1.1055416,1.22222222,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,7.0,6.0,1.15470054,1.33333333,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,7.0,6.66666667,0.745355992,0.555555556,1.0,40.0,5.0,7.0,6.66666667,0.745355992,0.555555556,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,7.0,6.33333333,1.1055416,1.22222222,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,7.0,6.0,1.15470054,1.33333333,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,7.0,5.66666667,1.24721913,1.55555556,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,7.0,6.0,1.15470054,1.33333333,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,7.0,6.33333333,0.942809042,0.888888889,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.58578644,7.0,5.66666667,1.24721913,1.55555556,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.38196601,7.0,5.66666667,1.37436854,1.88888889,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,7.0,6.0,1.0,1.0,1.0,40.0,5.0,7.0,6.66666667,0.745355992,0.555555556,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,7.0,6.0,1.15470054,1.33333333,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_2244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.26794919,7.0,5.33333333,1.37436854,1.88888889,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_2314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.19806226,6.80193774,5.0,1.29099445,1.66666667,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_2329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.58578644,7.0,6.0,1.29099445,1.66666667,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
7_2550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,7.0,6.0,1.15470054,1.33333333,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0,42.0,7.0,7.0,7.0,2.17558393e-15,4.73316543e-30,1.0
8_721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,8.0,7.42857143,0.903507903,0.816326531,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_2817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,8.0,7.14285714,0.989743319,0.979591837,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_3248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,8.0,7.42857143,0.903507903,0.816326531,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_4616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,8.0,7.42857143,0.903507903,0.816326531,1.0,54.0,6.0,8.0,7.71428571,0.699854212,0.489795918,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_4760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,8.0,7.14285714,1.12485827,1.26530612,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_5260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,8.0,6.85714286,1.2453997,1.55102041,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_5491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,8.0,6.57142857,1.17803018,1.3877551,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_7748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.58578644,8.0,6.85714286,1.2453997,1.55102041,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_7922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,8.0,7.14285714,1.12485827,1.26530612,1.0,54.0,6.0,8.0,7.71428571,0.699854212,0.489795918,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_7933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,8.0,6.85714286,1.12485827,1.26530612,1.0,54.0,6.0,8.0,7.71428571,0.699854212,0.489795918,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_8221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.58578644,8.0,6.57142857,1.29362645,1.67346939,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_8230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.58578644,8.0,6.85714286,1.2453997,1.55102041,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_12185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
8_14143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,5.0,8.0,7.42857143,1.04978132,1.10204082,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0,56.0,8.0,8.0,8.0,1.53837015e-15,2.36658272e-30,1.0
9_3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,7.0,9.0,8.25,0.968245837,0.9375,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,9.0,8.0,1.0,1.0,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_4495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,7.0,9.0,8.25,0.968245837,0.9375,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_18405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,5.58578644,9.0,8.0,1.22474487,1.5,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_19203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.58578644,9.0,7.75,1.29903811,1.6875,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_20559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.58578644,9.0,7.75,1.29903811,1.6875,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_20569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,5.58578644,9.0,8.0,1.22474487,1.5,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_20790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,5.58578644,9.0,8.0,1.22474487,1.5,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_21508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.58578644,9.0,7.75,1.19895788,1.4375,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_35189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.58578644,9.0,7.75,1.29903811,1.6875,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_35458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.26794919,9.0,7.5,1.32287566,1.75,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_38596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,9.0,8.25,1.08972474,1.1875,1.0,70.0,7.0,9.0,8.75,0.661437828,0.4375,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_38597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,9.0,8.5,0.866025404,0.75,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_38598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,9.0,8.5,0.866025404,0.75,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_38599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,7.0,9.0,8.25,0.968245837,0.9375,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_49214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,9.0,8.25,1.08972474,1.1875,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
9_86359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,9.0,8.5,0.866025404,0.75,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0,72.0,9.0,9.0,9.0,4.48508117e-15,2.01159531e-29,1.0
